Date,Search Volume
2012-01,60
2012-02,65
2012-03,70
2012-04,62
2012-05,66
2012-06,71
2012-07,65
2012-08,77
2012-09,67
2012-10,69
2012-11,100
2012-12,90
2013-01,56
2013-02,59
2013-03,67
2013-04,63
2013-05,66
2013-06,71
2013-07,69
2013-08,72
2013-09,63
2013-10,70
2013-11,92
2013-12,88
2014-01,56
2014-02,54
2014-03,64
2014-04,67
2014-05,70
2014-06,70
2014-07,65
2014-08,70
2014-09,60
2014-10,66
2014-11,99
2014-12,88
